Author,User Rating,Percent,Author-t
Golden Books,4.8,0.0073846153846153844,Malo
Greg Mortenson,8.6,0.01323076923076923,Malo
Harper Lee,27.599999999999998,0.04246153846153846,Malo
Heidi Murkoff,4.4,0.00676923076923077,Malo
Hillary Rodham Clinton,4.6,0.007076923076923076,Malo
Hopscotch Girls,14.399999999999999,0.022153846153846152,Malo
Howard Stern,4.3,0.006615384615384615,Malo
Ian K. Smith M.D.,4.1,0.0063076923076923076,Malo
Ibram X. Kendi,4.8,0.0073846153846153844,Malo
Ina Garten,18.8,0.028923076923076923,Malo
Isabel Wilkerson,9.6,0.014769230769230769,Malo
J. D. Vance,8.8,0.01353846153846154,Malo
J. K. Rowling,9.7,0.014923076923076923,Malo
J.K. Rowling,26.700000000000003,0.04107692307692308,Malo
JJ Smith,4.7,0.007230769230769231,Malo
James Clear,9.6,0.014769230769230769,Malo
James Comey,4.7,0.007230769230769231,Malo
James Dashner,4.5,0.006923076923076923,Malo
James Patterson,8.899999999999999,0.01369230769230769,Malo
Jay Asher,4.5,0.006923076923076923,Malo
Jaycee Dugard,4.6,0.007076923076923076,Malo
Jeanine Cummins,4.6,0.007076923076923076,Malo
Jeff Kinney,67.4,0.1036923076923077,Malo
Jen Sincero,18.8,0.028923076923076923,Malo
Jennie Allen,4.7,0.007230769230769231,Malo
Jennifer Smith,8.8,0.01353846153846154,Malo
Jill Twiss,4.9,0.007538461538461539,Malo
Jim Collins,18.0,0.027692307692307693,Malo
Joanna Gaines,14.5,0.022307692307692306,Malo
Joel Fuhrman MD,9.0,0.013846153846153847,Malo
Johanna Basford,9.4,0.014461538461538461,Malo
John Bolton,4.3,0.006615384615384615,Malo
John Green,23.3,0.03584615384615385,Malo
John Grisham,22.0,0.033846153846153845,Malo
John Heilemann,4.4,0.00676923076923077,Malo
Jon Meacham,4.5,0.006923076923076923,Malo
Jon Stewart,4.4,0.00676923076923077,Malo
Jonathan Cahn,4.6,0.007076923076923076,Malo
Jordan B. Peterson,4.7,0.007230769230769231,Malo
Julia Child,4.8,0.0073846153846153844,Malo
Justin Halpern,4.7,0.007230769230769231,Malo
Karen Frazier ,4.8,0.0073846153846153844,Malo
Kathryn Stockett,19.2,0.029538461538461538,Malo
Katie Stokes,4.7,0.007230769230769231,Malo
Keith Richards,4.5,0.006923076923076923,Malo
Ken Follett,4.5,0.006923076923076923,Malo
Kevin Kwan,4.3,0.006615384615384615,Malo
Khaled Hosseini,4.3,0.006615384615384615,Malo
Kristin Hannah,14.1,0.02169230769230769,Malo
